,dataset,encoding,layer_type,layer_types,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,run_duration
0,mutag,LCP,GCN,,0.1,0.001,82.7659574468085,0.022876051158664867,87.02127659574467,0.020363380619583656,85.85106382978725,0.02500339497093207,0.0,0.0,False,628.4596862792969
0,mutag,LCP,GCN,,0.1,0.001,82.7659574468085,0.022876051158664867,87.02127659574467,0.020363380619583656,85.85106382978725,0.02500339497093207,0.0,0.0,False,628.4596862792969
1,enzymes,LCP,GCN,,0.1,0.001,37.8,0.028723973726952654,45.199999999999996,0.026385181026056605,79.13333333333334,0.08452323809330649,0.0,0.0,False,5466.764487504959
0,mutag,LCP,GCN,,0.1,0.001,82.7659574468085,0.022876051158664867,87.02127659574467,0.020363380619583656,85.85106382978725,0.02500339497093207,0.0,0.0,False,628.4596862792969
1,enzymes,LCP,GCN,,0.1,0.001,37.8,0.028723973726952654,45.199999999999996,0.026385181026056605,79.13333333333334,0.08452323809330649,0.0,0.0,False,5466.764487504959
2,proteins,LCP,GCN,,0.1,0.001,72.07885304659499,0.01449553829687093,74.42446043165467,0.012766490607790284,75.05395683453237,0.011722976880760506,0.0,0.0,False,3596.6394312381744
0,mutag,LCP,GCN,,0.1,0.001,82.7659574468085,0.022876051158664867,87.02127659574467,0.020363380619583656,85.85106382978725,0.02500339497093207,0.0,0.0,False,628.4596862792969
1,enzymes,LCP,GCN,,0.1,0.001,37.8,0.028723973726952654,45.199999999999996,0.026385181026056605,79.13333333333334,0.08452323809330649,0.0,0.0,False,5466.764487504959
2,proteins,LCP,GCN,,0.1,0.001,72.07885304659499,0.01449553829687093,74.42446043165467,0.012766490607790284,75.05395683453237,0.011722976880760506,0.0,0.0,False,3596.6394312381744
3,imdb,LCP,GCN,,0.1,0.001,65.48,0.013436666253204338,69.52,0.025394172559861046,67.78,0.022144615598379654,0.0,0.0,False,4314.203932285309
